NIVEL1;NIVEL2;NIVEL3;CATEGORIA;VALOR
VN;Pedra Fria;Vara 4;Banco Aurora;11
CV;Porto Nobre;Vara 6;Banco Meridiano;12
SA;Porto Nobre;Vara 2;Banco Aurora;17
VN;Porto Nobre;Vara 6;Banco Aurora;12
CV;Porto Nobre;Vara 3;Banco Vantis;6
LS;Porto Nobre;Vara 1;Banco Vantis;11
PN;Porto Nobre;Vara 2;Banco Meridiano;16
CV;Serra Nova;Vara 5;Banco Meridiano;10
LS;Porto Nobre;Vara 1;Banco Vantis;11
SA;Porto Nobre;Vara 2;Crediluz;26
CV;Monte Claro do Vale;Vara 1;Banco Aurora;20
BC;Porto Nobre;Vara 2;Banco Meridiano;12
CV;Porto Nobre;Vara 4;Banco Meridiano;18
SA;Porto Nobre;Vara 3;Crediluz;37
LS;Monte Claro do Vale;Vara 5;Banco Meridiano;8
TB;Porto Nobre;Vara 2;Banco Meridiano;142
PN;Porto Nobre;Vara 3;Banco Aurora;275
PN;Porto Nobre;Vara 4;Banco Solaris;11
SA;Porto Nobre;Vara 3;Banco Aurora;17
VN;Pedra Fria;Vara 5;Crediluz;26
IL;Porto Nobre;Vara 1;Norvel Crédito;20
SD;Barra Limpa;Vara 2;Banco Aurora;15
IL;Vila Aurora;Vara 1;Banco Meridiano;20
BC;Alto Rubro;Vara 5;Banco Aurora;7
SA;Porto Nobre;Vara 5;Banco Aurora;15
CV;Porto Nobre;Vara 3;Crediluz;27
CV;Porto Nobre;Vara 6;Banco Meridiano;9
SD;Porto Nobre;Vara 4;Norvel Crédito;17
SA;Serra Nova;Vara 4;Crediluz;23
TB;Porto Nobre;Vara 2;Banco Aurora;8
IL;Porto Nobre;Vara 1;Banco Vantis;37
LS;Santa Elis;Vara 5;Banco Aurora;14
SA;Porto Nobre;Vara 1;Banco Aurora;16
TB;Porto Nobre;Vara 2;Banco Aurora;12
SA;Vila Aurora;Vara 1;Norvel Crédito;10
CV;Barra Limpa;Vara 4;Banco Vantis;14
VN;Serra Nova;Vara 2;Banco Solaris;7
SA;Porto Nobre;Vara 3;Banco Vantis;30
IL;Cruzeiro Novo;Vara 1;Banco Meridiano;13
SA;Cruzeiro Novo;Vara 2;Banco Meridiano;7
SD;Vila Aurora;Vara 2;Norvel Crédito;159
PN;Santa Elis;Vara 6;Banco Solaris;33
TB;Vila Aurora;Vara 3;Banco Vantis;12
SA;Porto Nobre;Vara 3;Banco Solaris;12
VN;Porto Nobre;Vara 3;Banco Aurora;15
MR;Monte Claro do Vale;Vara 2;Banco Aurora;66
LS;Cruzeiro Novo;Vara 5;Banco Aurora;14
VN;Serra Nova;Vara 2;Banco Aurora;15
LS;Porto Nobre;Vara 5;Banco Meridiano;28
SA;Porto Nobre;Vara 5;Banco Aurora;36
VN;Porto Nobre;Vara 2;Banco Aurora;16
PN;Serra Nova;Vara 1;Norvel Crédito;12
MR;Porto Nobre;Vara 5;Banco Vantis;21
SA;Porto Nobre;Vara 6;Banco Aurora;8
LS;Porto Nobre;Vara 4;Banco Meridiano;13
VN;Barra Limpa;Vara 5;Banco Aurora;11
CV;Porto Nobre;Vara 5;Banco Cordilheira;10
LS;Monte Claro do Vale;Vara 6;Banco Aurora;6
SA;Porto Nobre;Vara 2;Banco Vantis;8
TB;Lagoa Azul;Vara 2;Banco Meridiano;198
SA;Porto Nobre;Vara 2;Banco Vantis;25
SA;Porto Nobre;Vara 4;Crediluz;28
VN;Serra Nova;Vara 5;Banco Aurora;113
MR;Barra Limpa;Vara 4;Banco Solaris;45
LS;Porto Nobre;Vara 1;Banco Solaris;13
VN;Lagoa Azul;Vara 2;Banco Aurora;8
TB;Porto Nobre;Vara 6;Banco Meridiano;10
TB;Porto Nobre;Vara 3;Banco Meridiano;13
SD;Porto Nobre;Vara 2;Banco Meridiano;17
SA;Pedra Fria;Vara 4;Banco Aurora;13
VN;Porto Nobre;Vara 1;Banco Meridiano;37
SA;Porto Nobre;Vara 1;Banco Meridiano;7
LS;Santa Elis;Vara 2;Crediluz;17
VN;Porto Nobre;Vara 5;Banco Aurora;13
TB;Barra Limpa;Vara 5;Banco Vantis;9
IL;Porto Nobre;Vara 4;Banco Aurora;16
MR;Santa Elis;Vara 1;Norvel Crédito;159
BC;Porto Nobre;Vara 1;Norvel Crédito;8
SA;Vila Aurora;Vara 2;Banco Aurora;16
LS;Vila Aurora;Vara 5;Banco Solaris;7
LS;Serra Nova;Vara 2;Banco Vantis;5
VN;Porto Nobre;Vara 4;Banco Aurora;16
CV;Porto Nobre;Vara 2;Banco Aurora;18
SA;Monte Claro do Vale;Vara 6;Banco Meridiano;10
CV;Alto Rubro;Vara 1;Banco Aurora;18
MR;Cruzeiro Novo;Vara 4;Banco Aurora;40
SA;Cruzeiro Novo;Vara 6;Banco Aurora;14
LS;Santa Elis;Vara 2;Banco Aurora;24
BC;Porto Nobre;Vara 4;Banco Meridiano;6
LS;Porto Nobre;Vara 2;Crediluz;23
IL;Monte Claro do Vale;Vara 2;Crediluz;20
TB;Alto Rubro;Vara 2;Banco Aurora;17
TB;Porto Nobre;Vara 2;Banco Aurora;14
SA;Cruzeiro Novo;Vara 3;Banco Meridiano;10
SA;Serra Nova;Vara 3;Banco Aurora;14
PN;Monte Claro do Vale;Vara 2;Crediluz;20
PN;Monte Claro do Vale;Vara 3;Banco Meridiano;9
PN;Monte Claro do Vale;Vara 6;Banco Meridiano;13
CV;Porto Nobre;Vara 1;Banco Vantis;10
BC;Santa Elis;Vara 2;Crediluz;22
VN;Porto Nobre;Vara 2;Banco Aurora;10
SA;Lagoa Azul;Vara 6;Banco Meridiano;9
CV;Santa Elis;Vara 5;Banco Aurora;9
SA;Porto Nobre;Vara 6;Banco Aurora;13
LS;Porto Nobre;Vara 5;Banco Solaris;9
PN;Porto Nobre;Vara 1;Banco Vantis;12
LS;Porto Nobre;Vara 6;Banco Vantis;5
CV;Cruzeiro Novo;Vara 5;Banco Aurora;10
LS;Porto Nobre;Vara 1;Banco Meridiano;13
PN;Pedra Fria;Vara 2;Banco Meridiano;14
SA;Alto Rubro;Vara 2;Banco Vantis;23
PN;Pedra Fria;Vara 6;Banco Aurora;13
SA;Porto Nobre;Vara 3;Banco Meridiano;30
MR;Porto Nobre;Vara 2;Banco Cordilheira;27
PN;Porto Nobre;Vara 1;Banco Vantis;25
SD;Porto Nobre;Vara 6;Banco Meridiano;15
LS;Porto Nobre;Vara 1;Banco Meridiano;10
TB;Porto Nobre;Vara 4;Banco Solaris;15
CV;Porto Nobre;Vara 5;Banco Meridiano;19
MR;Porto Nobre;Vara 6;Banco Meridiano;55
CV;Porto Nobre;Vara 5;Banco Cordilheira;18
VN;Porto Nobre;Vara 1;Banco Aurora;13
SA;Porto Nobre;Vara 4;Banco Meridiano;12
SA;Porto Nobre;Vara 2;Crediluz;35
SA;Porto Nobre;Vara 1;Banco Vantis;5
CV;Porto Nobre;Vara 3;Banco Meridiano;22
SA;Santa Elis;Vara 1;Banco Aurora;42
CV;Porto Nobre;Vara 6;Banco Aurora;48
VN;Porto Nobre;Vara 2;Banco Aurora;16
MR;Porto Nobre;Vara 4;Banco Vantis;28
VN;Porto Nobre;Vara 1;Banco Vantis;31
BC;Porto Nobre;Vara 5;Banco Vantis;8
CV;Porto Nobre;Vara 4;Banco Solaris;16
SA;Porto Nobre;Vara 3;Banco Aurora;29
SA;Porto Nobre;Vara 6;Crediluz;34
LS;Barra Limpa;Vara 3;Banco Cordilheira;14
MR;Porto Nobre;Vara 3;Banco Meridiano;70
SD;Porto Nobre;Vara 2;Crediluz;22
LS;Barra Limpa;Vara 3;Banco Vantis;9
VN;Porto Nobre;Vara 6;Banco Vantis;13
LS;Porto Nobre;Vara 5;Banco Solaris;6
VN;Lagoa Azul;Vara 4;Banco Aurora;16
SD;Barra Limpa;Vara 3;Banco Vantis;12
CV;Porto Nobre;Vara 4;Banco Solaris;12
SA;Porto Nobre;Vara 5;Crediluz;36
TB;Porto Nobre;Vara 5;Banco Meridiano;13
MR;Porto Nobre;Vara 5;Crediluz;89
SA;Cruzeiro Novo;Vara 2;Banco Vantis;10
